receipt_id,purchased_at,customer_id,store_code,till_number
1,2022-02-26,9919,0,3
2,2020-08-14,1176,0,2
3,2022-01-05,16221,1,1
4,2020-12-11,2587,2,1
5,2020-11-13,4337,0,14
6,2022-01-15,7085,1,4
7,2021-10-10,14936,2,5
8,2021-03-10,8979,1,3
9,2021-07-11,8451,0,6
10,2021-11-05,1552,0,3
11,2020-12-27,9157,2,10
12,2020-08-14,14799,0,2
13,2021-12-06,2538,1,12
14,2022-03-15,2883,3,4
15,2021-06-19,15054,3,9
16,2021-12-26,2845,3,2
17,2021-11-03,6476,0,8
18,2020-09-07,14799,0,1
19,2021-02-26,15730,0,3
20,2022-03-16,15899,3,3
21,2021-03-22,9828,0,1
22,2021-03-18,12417,1,4
23,2020-10-13,2802,3,3
25,2021-03-18,15722,0,2
26,2020-10-05,14781,3,5
27,2020-09-18,3810,0,6
28,2021-01-24,6121,2,3
29,2021-09-05,11342,1,2
30,2020-09-02,4664,0,4
31,2021-10-26,4284,1,9
32,2021-02-22,15567,1,5
33,2021-02-24,1771,2,4
34,2021-10-27,12072,3,3
36,2021-08-04,9202,2,7
37,2021-04-28,8799,3,5
38,2021-06-03,11359,0,3
39,2021-06-28,12232,0,3
40,2021-10-17,10635,3,2
41,2021-07-27,9064,3,5
42,2022-03-13,7704,2,3
43,2021-07-24,11718,1,7
44,2021-02-06,16221,1,2
45,2020-09-04,6886,0,6
46,2021-02-22,13572,2,4
47,2021-10-02,10998,3,3
48,2020-09-29,8799,3,5
49,2022-03-17,256,2,8
50,2021-09-15,14580,1,4
51,2021-08-25,12869,2,4
52,2021-06-08,13220,1,9
53,2022-01-13,14954,3,3
54,2021-02-17,12591,3,4
55,2021-04-05,14444,2,4
56,2021-04-01,10518,2,6
57,2020-10-28,11780,3,1
58,2022-01-15,9545,2,2
59,2021-04-15,13693,0,1
60,2020-10-16,14581,3,5
61,2021-12-01,12232,0,1
62,2020-10-12,11693,0,2
63,2021-03-05,10010,3,2
64,2022-03-12,3091,1,2
65,2020-10-29,7012,3,1
66,2021-09-09,1771,2,5
67,2021-11-26,12475,0,6
68,2020-09-28,12124,0,3
69,2021-01-04,8582,3,4
70,2020-11-25,7334,1,2
71,2021-12-07,3656,2,4
72,2021-02-15,12850,1,4
73,2021-07-15,6524,1,2
74,2020-10-26,12124,0,6
75,2021-02-21,7374,3,2
76,2021-05-28,2992,1,1
77,2021-08-22,15864,0,3
78,2021-04-17,5111,0,2
79,2021-03-25,3464,0,5
80,2020-12-18,3550,1,2
81,2021-01-07,8877,3,4
83,2021-09-06,6862,2,2
84,2021-03-02,12765,2,3
85,2021-02-21,7687,0,5
86,2021-06-17,1676,3,3
87,2021-03-01,8738,3,3
88,2022-01-20,13242,1,5
